model,condition,n,correct,accuracy,ci_low,ci_high,mcnemar_p
GPT-4.1,Baseline,88,28,31.818181818181817,23.022582402932688,42.13476547579066,
GPT-4.1,L1,90,45,50.0,39.88372282354734,60.11627717645266,0.000728607177734375
GPT-4.1,L2,88,39,44.31818181818182,34.39346184928343,54.71820936281762,0.02660369873046875
GPT-4.1,L3,89,44,49.438202247191015,39.291450235623174,59.6314447590243,0.002599477767944336
GPT-4.1,L2-Ref,87,40,45.97701149425287,35.8970941640143,56.397173133237246,0.043285250663757324
Qwen-235B,Baseline,90,24,26.666666666666668,18.62381873823357,36.619843788101676,
Qwen-235B,L1,88,39,44.31818181818182,34.39346184928343,54.71820936281762,6.103515625e-05
Qwen-235B,L2,90,44,48.888888888888886,38.820491619872904,59.048254214714504,1.9073486328125e-06
Qwen-235B,L3,90,42,46.666666666666664,36.708424957697524,56.89781254606465,7.62939453125e-06
Qwen-235B,L2-Ref,90,43,47.77777777777778,37.76205558204567,57.97543608712912,3.814697265625e-06
Qwen-32B,Baseline,89,29,32.58426966292135,23.74397245029349,42.86577238377822,
Qwen-32B,L1,87,37,42.52873563218391,32.67324096997869,53.01611258205987,0.03857421875
Qwen-32B,L2,88,34,38.63636363636363,29.142099430814632,49.081242993387455,0.109375
Qwen-32B,L3,88,40,45.45454545454545,35.45940374421491,55.82993322546592,0.00048828125
Qwen-32B,L2-Ref,88,33,37.5,28.107922931825335,47.93775373479697,0.1796875
Qwen-8B,Baseline,90,27,30.0,21.510914497726972,40.12651052484609,
Qwen-8B,L1,90,31,34.44444444444444,25.44591402493863,44.716527659284864,0.5034446716308594
Qwen-8B,L2,90,26,28.88888888888889,20.542127259162143,38.96404359799831,1.0
Qwen-8B,L3,90,26,28.88888888888889,20.542127259162143,38.96404359799831,1.0
Qwen-8B,L2-Ref,88,24,27.272727272727273,19.065479899453315,37.38120494895087,0.629058837890625
Gemini 2.5 Flash,Baseline,90,33,36.666666666666664,27.447254779029883,46.977695236018825,
Gemini 2.5 Flash,L1,90,47,52.22222222222222,42.02456391287088,62.23794441795434,0.001312255859375
Gemini 2.5 Flash,L2,89,48,53.93258426966292,43.629456161370186,63.91027887609749,0.0014896392822265625
Gemini 2.5 Flash,L3,88,44,50.0,39.774166700838975,60.225833299161025,0.043285250663757324
Gemini 2.5 Flash,L2-Ref,90,48,53.333333333333336,43.10218745393534,63.29157504230247,0.005924612283706665
Claude Sonnet 4.5,Baseline,90,33,36.666666666666664,27.447254779029883,46.977695236018825,
Claude Sonnet 4.5,L1,90,32,35.55555555555556,26.443868959648185,45.84982688998792,1.0
Claude Sonnet 4.5,L2,90,44,48.888888888888886,38.820491619872904,59.048254214714504,0.043285250663757324
Claude Sonnet 4.5,L3,90,44,48.888888888888886,38.820491619872904,59.048254214714504,0.052238985896110535
Claude Sonnet 4.5,L2-Ref,90,32,35.55555555555556,26.443868959648185,45.84982688998792,1.0
