model,condition,mae_surf,mae_cent,delta_surf,n
GPT-4.1,Baseline,1.2993571219026114,2.19841585511511,,88
GPT-4.1,L1,0.896154371232287,1.7933516330189174,-31.03094167675213,90
GPT-4.1,L2,1.0070022154064402,1.9336648657917976,-22.499965680573197,88
GPT-4.1,L3,0.9264049390153458,1.8712873351707886,-28.702823619511346,89
GPT-4.1,L2-Ref,0.885859588897351,1.8275923489154071,-31.82323981876421,87
Qwen-235B,Baseline,1.426351673766936,2.3210118770599366,,90
Qwen-235B,L1,1.0029101602439403,1.9460561749610035,-29.68703450283786,88
Qwen-235B,L2,0.965091675535358,1.903606571091546,-32.338448274359244,90
Qwen-235B,L3,1.0203636965861151,1.9603643245167202,-28.463385618542677,90
Qwen-235B,L2-Ref,1.0249925407991296,1.9564778963724772,-28.13886227004827,90
Qwen-32B,Baseline,1.2930677164234463,2.246625207783131,,89
Qwen-32B,L1,1.0344114720032667,1.9577711971326806,-20.003302312396173,87
Qwen-32B,L2,1.0986993678539085,2.0794926035133274,-15.031567651162915,88
Qwen-32B,L3,1.0786498208659305,2.0076126131144436,-16.58210879710026,88
Qwen-32B,L2-Ref,0.98152654581626,1.9237697422504425,-24.09318295169351,88
Qwen-8B,Baseline,1.536949026680251,2.449869904915492,,90
Qwen-8B,L1,1.3997640927742883,2.3005052738719516,-8.925795945378669,90
Qwen-8B,L2,1.6375175583269386,2.545924802621206,6.543387575052609,90
Qwen-8B,L3,1.6431035892111203,2.5249983688195545,6.906836901426649,90
Qwen-8B,L2-Ref,1.8220347272062083,2.7483255815776912,18.54880647159334,88
Gemini 2.5 Flash,Baseline,1.2982083328861898,2.2236104435390898,,90
Gemini 2.5 Flash,L1,0.8326251902177764,1.729866725206375,-35.8635151904567,90
Gemini 2.5 Flash,L2,0.7247718750893204,1.6307425365019381,-44.17137398294153,89
Gemini 2.5 Flash,L3,0.9201007488156155,1.8157400597225537,-29.125339476905193,88
Gemini 2.5 Flash,L2-Ref,0.8003905419447199,1.69963311917252,-38.34652561771163,90
Claude Sonnet 4.5,Baseline,1.5312687944291077,2.4400388227568732,,90
Claude Sonnet 4.5,L1,1.2382012548424937,2.1482390357388392,-19.13886971724493,90
Claude Sonnet 4.5,L2,0.9224303762986575,1.8212839755747052,-39.760388270528246,90
Claude Sonnet 4.5,L3,1.0213900797718352,1.9802254405286577,-33.29779307932459,90
Claude Sonnet 4.5,L2-Ref,1.1761218099572708,2.0887620647748313,-23.19298778659196,90
