model,condition,condition_label,valid_n,mae_surface,num_files
Claude Sonnet 4.5,baseline,Baseline,69,1.3587274535232532,2
Claude Sonnet 4.5,ctx_l1,L1,62,1.265823111055096,2
Claude Sonnet 4.5,ctx_l2,L2,81,1.5728315724887947,2
Claude Sonnet 4.5,ctx_l2_ref_only,L2-Ref,81,1.488404673361126,2
Claude Sonnet 4.5,ctx_l3,L3,75,1.3815741784696756,2
GPT-4.1,baseline,Baseline,88,1.2993571219026117,2
GPT-4.1,ctx_l1,L1,90,0.8961543712322873,2
GPT-4.1,ctx_l2,L2,127,0.8867416925650924,3
GPT-4.1,ctx_l2_ref_only,L2-Ref,126,0.7862681288418216,3
GPT-4.1,ctx_l3,L3,89,0.926404939015346,2
Gemini 2.5 Flash,baseline,Baseline,90,1.2982083328861898,2
Gemini 2.5 Flash,ctx_l1,L1,90,0.8326251902177764,2
Gemini 2.5 Flash,ctx_l2,L2,89,0.7247718750893206,2
Gemini 2.5 Flash,ctx_l2_ref_only,L2-Ref,90,0.8003905419447203,2
Gemini 2.5 Flash,ctx_l3,L3,88,0.9201007488156155,2
Qwen3-VL-235B-A22B,baseline,Baseline,90,1.426351673766936,2
Qwen3-VL-235B-A22B,ctx_l1,L1,88,1.0029101602439403,2
Qwen3-VL-235B-A22B,ctx_l2,L2,90,0.9650916755353582,2
Qwen3-VL-235B-A22B,ctx_l2_ref_only,L2-Ref,90,1.0249925407991298,2
Qwen3-VL-235B-A22B,ctx_l3,L3,90,1.0203636965861151,2
Qwen3-VL-32B,baseline,Baseline,89,1.2930677164234463,2
Qwen3-VL-32B,ctx_l1,L1,87,1.0344114720032669,2
Qwen3-VL-32B,ctx_l2,L2,88,1.0986993678539088,2
Qwen3-VL-32B,ctx_l2_ref_only,L2-Ref,88,0.9815265458162602,2
Qwen3-VL-32B,ctx_l3,L3,88,1.0786498208659305,2
Qwen3-VL-8B,baseline,Baseline,90,1.536949026680251,2
Qwen3-VL-8B,ctx_l1,L1,90,1.3997640927742883,2
Qwen3-VL-8B,ctx_l2,L2,90,1.6375175583269386,2
Qwen3-VL-8B,ctx_l2_ref_only,L2-Ref,88,1.8220347272062083,2
Qwen3-VL-8B,ctx_l3,L3,90,1.64310358921112,2
