model,condition,b,c,p,n_pairs
GPT-4.1,L1,17,2,0.000728607177734375,88
GPT-4.1,L2,16,5,0.02660369873046875,88
GPT-4.1,L3,19,4,0.002599477767944336,88
GPT-4.1,L2-Ref,18,7,0.043285250663757324,86
Qwen-235B,L1,15,0,6.103515625e-05,88
Qwen-235B,L2,20,0,1.9073486328125e-06,90
Qwen-235B,L3,18,0,7.62939453125e-06,90
Qwen-235B,L2-Ref,19,0,3.814697265625e-06,90
Qwen-32B,L1,10,2,0.03857421875,87
Qwen-32B,L2,8,2,0.109375,88
Qwen-32B,L3,12,0,0.00048828125,88
Qwen-32B,L2-Ref,7,2,0.1796875,88
Qwen-8B,L1,12,8,0.5034446716308594,90
Qwen-8B,L2,8,9,1.0,90
Qwen-8B,L3,7,8,1.0,90
Qwen-8B,L2-Ref,7,10,0.629058837890625,88
Gemini 2.5 Flash,L1,16,2,0.001312255859375,90
Gemini 2.5 Flash,L2,18,3,0.0014896392822265625,89
Gemini 2.5 Flash,L3,18,7,0.043285250663757324,88
Gemini 2.5 Flash,L2-Ref,21,6,0.005924612283706665,90
Claude Sonnet 4.5,L1,10,11,1.0,90
Claude Sonnet 4.5,L2,18,7,0.043285250663757324,90
Claude Sonnet 4.5,L3,19,8,0.052238985896110535,90
Claude Sonnet 4.5,L2-Ref,14,15,1.0,90
