operator,tau,n,tp,tn,fp,fn,accuracy,precision,recall,f1
between,0.2,22,8,11,0,3,0.8636363636363636,1.0,0.7272727272727273,0.8421052631578948
between,0.25,22,10,11,0,1,0.9545454545454546,1.0,0.9090909090909091,0.9523809523809523
between,0.3,22,11,11,0,0,1.0,1.0,1.0,1.0
between,0.35,22,11,11,0,0,1.0,1.0,1.0,1.0
between,0.4,22,11,11,0,0,1.0,1.0,1.0,1.0
between,0.5,22,11,10,1,0,0.9545454545454546,0.9166666666666666,1.0,0.9565217391304348
aligned,0.1,36,9,18,0,9,0.75,1.0,0.5,0.6666666666666666
aligned,0.15,36,14,18,0,4,0.8888888888888888,1.0,0.7777777777777778,0.8750000000000001
aligned,0.2,36,16,18,0,2,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353
aligned,0.25,36,18,18,0,0,1.0,1.0,1.0,1.0
aligned,0.3,36,18,18,0,0,1.0,1.0,1.0,1.0
aligned,0.4,36,18,18,0,0,1.0,1.0,1.0,1.0
