BETWEEN
operator  tau  n  tp  tn  fp  fn  accuracy  precision   recall       f1
 between 0.20 22   8  11   0   3  0.863636   1.000000 0.727273 0.842105
 between 0.25 22  10  11   0   1  0.954545   1.000000 0.909091 0.952381
 between 0.30 22  11  11   0   0  1.000000   1.000000 1.000000 1.000000
 between 0.35 22  11  11   0   0  1.000000   1.000000 1.000000 1.000000
 between 0.40 22  11  11   0   0  1.000000   1.000000 1.000000 1.000000
 between 0.50 22  11  10   1   0  0.954545   0.916667 1.000000 0.956522

ALIGNED
operator  tau  n  tp  tn  fp  fn  accuracy  precision   recall       f1
 aligned 0.10 36   9  18   0   9  0.750000        1.0 0.500000 0.666667
 aligned 0.15 36  14  18   0   4  0.888889        1.0 0.777778 0.875000
 aligned 0.20 36  16  18   0   2  0.944444        1.0 0.888889 0.941176
 aligned 0.25 36  18  18   0   0  1.000000        1.0 1.000000 1.000000
 aligned 0.30 36  18  18   0   0  1.000000        1.0 1.000000 1.000000
 aligned 0.40 36  18  18   0   0  1.000000        1.0 1.000000 1.000000
