query_id,scene_id,operator,structured_query,gt_object_a,gt_object_b,gt_distance_m,gt_answer_object,surface_pred_distance_m,surface_pred_answer_object,centroid_pred_distance_m,centroid_pred_answer_object
dev_q_0029,scene0000_00,distance,"distance(""scene0000_00__bed_037"", ""scene0000_00__cabinet_041"")",scene0000_00__bed_037,scene0000_00__cabinet_041,0.8145880103111267,,0.8145880103111267,,1.8354758024215696,
dev_q_0030,scene0000_00,distance,"distance(""scene0000_00__bed_037"", ""scene0000_00__desk_007"")",scene0000_00__bed_037,scene0000_00__desk_007,0.416836529970169,,0.416836529970169,,2.242819309234619,
dev_q_0031,scene0000_00,distance,"distance(""scene0000_00__sofa_032"", ""scene0000_00__table_034"")",scene0000_00__sofa_032,scene0000_00__table_034,0.3644254505634308,,0.3644254505634308,,1.0837469100952148,
dev_q_0032,scene0001_00,distance,"distance(""scene0001_00__chair_011"", ""scene0001_00__table_003"")",scene0001_00__chair_011,scene0001_00__table_003,0.3981341421604156,,0.3981341421604156,,1.1258659362792969,
dev_q_0033,scene0001_00,distance,"distance(""scene0001_00__door_020"", ""scene0001_00__sofa_009"")",scene0001_00__door_020,scene0001_00__sofa_009,0.6163078546524048,,0.6163078546524048,,1.1160802841186523,
dev_q_0034,scene0001_00,distance,"distance(""scene0001_00__sofa_008"", ""scene0001_00__table_007"")",scene0001_00__sofa_008,scene0001_00__table_007,0.254514217376709,,0.254514217376709,,1.1190065145492554,
dev_q_0035,scene0010_00,distance,"distance(""scene0010_00__chair_036"", ""scene0010_00__table_053"")",scene0010_00__chair_036,scene0010_00__table_053,0.1745443642139434,,0.1745443642139434,,0.8610673546791077,
dev_q_0036,scene0010_00,distance,"distance(""scene0010_00__chair_038"", ""scene0010_00__desk_041"")",scene0010_00__chair_038,scene0010_00__desk_041,0.2385771870613098,,0.2385771870613098,,1.0738574266433716,
dev_q_0037,scene0010_00,distance,"distance(""scene0010_00__monitor_050"", ""scene0010_00__table_053"")",scene0010_00__monitor_050,scene0010_00__table_053,0.1704050898551941,,0.1704050898551941,,1.7767266035079956,
dev_q_0038,scene0011_00,distance,"distance(""scene0011_00__chair_004"", ""scene0011_00__monitor_018"")",scene0011_00__chair_004,scene0011_00__monitor_018,0.6214462518692017,,0.6214462518692017,,1.4216163158416748,
dev_q_0039,scene0011_00,distance,"distance(""scene0011_00__chair_004"", ""scene0011_00__table_002"")",scene0011_00__chair_004,scene0011_00__table_002,0.1766522824764251,,0.1766522824764251,,2.2105112075805664,
dev_q_0040,scene0030_00,distance,"distance(""scene0030_00__chair_009"", ""scene0030_00__table_048"")",scene0030_00__chair_009,scene0030_00__table_048,0.321894496679306,,0.321894496679306,,0.9793574810028076,
dev_q_0041,scene0030_00,distance,"distance(""scene0030_00__chair_015"", ""scene0030_00__door_069"")",scene0030_00__chair_015,scene0030_00__door_069,1.0199919939041138,,1.0199919939041138,,1.5785788297653198,
dev_q_0042,scene0030_00,distance,"distance(""scene0030_00__door_069"", ""scene0030_00__table_051"")",scene0030_00__door_069,scene0030_00__table_051,1.1801016330718994,,1.1801016330718994,,1.9130804538726809,
dev_q_0043,scene0050_00,distance,"distance(""scene0050_00__chair_003"", ""scene0050_00__door_009"")",scene0050_00__chair_003,scene0050_00__door_009,0.344726949930191,,0.344726949930191,,1.1705049276351929,
dev_q_0044,scene0050_00,distance,"distance(""scene0050_00__desk_005"", ""scene0050_00__sofa_013"")",scene0050_00__desk_005,scene0050_00__sofa_013,1.1566506624221802,,1.1566506624221802,,2.263025999069214,
dev_q_0045,scene0114_00,distance,"distance(""scene0114_00__cabinet_008"", ""scene0114_00__chair_005"")",scene0114_00__cabinet_008,scene0114_00__chair_005,0.2048069238662719,,0.2048069238662719,,0.8592854142189026,
dev_q_0046,scene0114_00,distance,"distance(""scene0114_00__cabinet_010"", ""scene0114_00__desk_013"")",scene0114_00__cabinet_010,scene0114_00__desk_013,0.4046701788902282,,0.4046701788902282,,1.3399089574813845,
dev_q_0047,scene0114_00,distance,"distance(""scene0114_00__chair_002"", ""scene0114_00__desk_014"")",scene0114_00__chair_002,scene0114_00__desk_014,0.3786665499210357,,0.3786665499210357,,0.7895299196243286,
dev_q_0048,scene0181_00,distance,"distance(""scene0181_00__chair_002"", ""scene0181_00__door_028"")",scene0181_00__chair_002,scene0181_00__door_028,0.3271380960941314,,0.3271380960941314,,1.2490177154541016,
dev_q_0049,scene0181_00,distance,"distance(""scene0181_00__door_028"", ""scene0181_00__table_023"")",scene0181_00__door_028,scene0181_00__table_023,0.5557606220245361,,0.5557606220245361,,1.903356909751892,
dev_q_0050,scene0181_00,distance,"distance(""scene0181_00__sofa_024"", ""scene0181_00__table_005"")",scene0181_00__sofa_024,scene0181_00__table_005,0.3954781591892242,,0.3954781591892242,,1.092464566230774,
dev_q_0051,scene0207_00,distance,"distance(""scene0207_00__bed_007"", ""scene0207_00__desk_014"")",scene0207_00__bed_007,scene0207_00__desk_014,0.3814211189746856,,0.3814211189746856,,1.40773344039917,
dev_q_0052,scene0207_00,distance,"distance(""scene0207_00__bed_007"", ""scene0207_00__door_020"")",scene0207_00__bed_007,scene0207_00__door_020,0.5008082389831543,,0.5008082389831543,,1.929601550102234,
dev_q_0053,scene0207_00,distance,"distance(""scene0207_00__chair_011"", ""scene0207_00__desk_014"")",scene0207_00__chair_011,scene0207_00__desk_014,0.5068123936653137,,0.5068123936653137,,1.0756524801254272,
dev_q_0054,scene0222_00,distance,"distance(""scene0222_00__bed_000"", ""scene0222_00__door_004"")",scene0222_00__bed_000,scene0222_00__door_004,0.2948498725891113,,0.2948498725891113,,1.5032775402069092,
dev_q_0055,scene0222_00,distance,"distance(""scene0222_00__bed_005"", ""scene0222_00__desk_013"")",scene0222_00__bed_005,scene0222_00__desk_013,0.2786369919776916,,0.2786369919776916,,1.9436324834823608,
dev_q_0056,scene0222_00,distance,"distance(""scene0222_00__chair_006"", ""scene0222_00__desk_013"")",scene0222_00__chair_006,scene0222_00__desk_013,0.2523634731769562,,0.2523634731769562,,0.8298431634902954,
dev_q_0057,scene0001_00,nearest,"nearest(""scene0001_00__door_019"", ""sofa"")",scene0001_00__door_019,,0.627921,scene0001_00__sofa_009,0.6279214024543762,scene0001_00__sofa_009,1.226002216339111,scene0001_00__sofa_009
dev_q_0058,scene0001_00,nearest,"nearest(""scene0001_00__door_020"", ""sofa"")",scene0001_00__door_020,,0.616308,scene0001_00__sofa_009,0.6163078546524048,scene0001_00__sofa_009,1.1160802841186523,scene0001_00__sofa_009
dev_q_0059,scene0001_00,nearest,"nearest(""scene0001_00__table_004"", ""sofa"")",scene0001_00__table_004,,0.403408,scene0001_00__sofa_009,0.4034079313278198,scene0001_00__sofa_009,1.4756877422332764,scene0001_00__sofa_009
dev_q_0060,scene0010_00,nearest,"nearest(""scene0010_00__cabinet_054"", ""chair"")",scene0010_00__cabinet_054,,0.389527,scene0010_00__chair_035,0.389526903629303,scene0010_00__chair_035,0.8941357135772705,scene0010_00__chair_035
dev_q_0061,scene0010_00,nearest,"nearest(""scene0010_00__monitor_047"", ""chair"")",scene0010_00__monitor_047,,0.804103,scene0010_00__chair_036,0.8041030168533325,scene0010_00__chair_036,1.264482855796814,scene0010_00__chair_036
dev_q_0062,scene0010_00,nearest,"nearest(""scene0010_00__monitor_050"", ""chair"")",scene0010_00__monitor_050,,0.556127,scene0010_00__chair_035,0.5561265349388123,scene0010_00__chair_035,1.2211976051330566,scene0010_00__chair_035
dev_q_0063,scene0011_00,nearest,"nearest(""scene0011_00__door_031"", ""chair"")",scene0011_00__door_031,,1.41738,scene0011_00__chair_009,1.41737961769104,scene0011_00__chair_009,1.7815463542938232,scene0011_00__chair_009
dev_q_0064,scene0011_00,nearest,"nearest(""scene0011_00__monitor_018"", ""chair"")",scene0011_00__monitor_018,,0.621446,scene0011_00__chair_004,0.6214462518692017,scene0011_00__chair_004,1.4216163158416748,scene0011_00__chair_004
dev_q_0065,scene0011_00,nearest,"nearest(""scene0011_00__table_017"", ""chair"")",scene0011_00__table_017,,0.496083,scene0011_00__chair_004,0.4960825145244598,scene0011_00__chair_004,1.0101505517959597,scene0011_00__chair_004
