query_id,full_point_distance_m,stored_gt_distance_m,abs_error_full_vs_stored_gt_m
test_stage1_dn_0000,0.4495985585007109,0.4495985805988312,2.2098120278091216e-08
test_stage1_dn_0001,0.4960574505071725,0.4960574507713318,2.641593055408009e-10
test_stage1_dn_0002,0.5864425716931904,0.5864425897598267,1.8066636298108563e-08
test_stage1_dn_0003,0.1923689553116965,0.1923689544200897,8.916068161557433e-10
test_stage1_dn_0004,0.16706469218811415,0.1670646965503692,4.3622550571775776e-09
test_stage1_dn_0005,0.8375847221231664,0.8375847339630127,1.1839846325578662e-08
test_stage1_dn_0006,0.2987791485634375,0.298779159784317,1.12208795033375e-08
test_stage1_dn_0007,0.4286984376442316,0.4286984205245971,1.7119634487805513e-08
test_stage1_dn_0008,0.15275156436032913,0.1527515649795532,6.192240609159683e-10
test_stage1_dn_0009,0.8706968403654078,0.8706968426704407,2.305032831273479e-09
test_stage1_dn_0010,0.36237560578492367,0.3623756170272827,1.1242359043706074e-08
test_stage1_dn_0011,0.5432937303690887,0.5432937741279602,4.3758871526300425e-08
test_stage1_dn_0012,0.3827621481971366,0.3827621340751648,1.4121971814162748e-08
test_stage1_dn_0013,0.2239548191702792,0.2239548116922378,7.478041408326419e-09
test_stage1_dn_0014,0.3191365095773046,0.3191365003585815,9.218723118209482e-09
test_stage1_dn_0015,0.2716908913465737,0.2716908752918243,1.605474941879237e-08
test_stage1_dn_0016,0.26851038777563135,0.2685104012489319,1.347330053080853e-08
test_stage1_dn_0017,0.3147442764397918,0.3147442936897278,1.7249935979624098e-08
test_stage1_dn_0018,0.29841969362088905,0.2984196841716766,9.449212468037871e-09
test_stage1_dn_0019,0.19787830629910205,0.1978783160448074,9.745705353836343e-09
test_stage1_dn_0020,0.3989245363207067,0.3989245295524597,6.768246962884916e-09
test_stage1_dn_0021,2.1708039960153416,2.170804023742676,2.772733420641771e-08
test_stage1_dn_0022,1.6564383469391275,1.6564383506774902,3.7383627304876654e-09
test_stage1_dn_0023,0.560162113957308,0.5601621270179749,1.3060666881337113e-08
test_stage1_dn_0024,0.26922671418949384,0.2692267298698425,1.568034863064227e-08
test_stage1_dn_0025,0.6580235430088548,0.6580235362052917,6.80356304627594e-09
test_stage1_dn_0026,0.28868125827656727,0.2886812686920166,1.0415449336331761e-08
test_stage1_dn_0027,0.2481965902776258,0.2481965869665146,3.311111218540219e-09
test_stage1_dn_0028,0.17795823852290021,0.1779582500457763,1.1522876097735946e-08
test_stage1_dn_0029,0.7120874242291023,0.7120874524116516,2.8182549294264447e-08
test_stage1_dn_0030,0.18308833476674471,0.183088332414627,2.3521177228147394e-09
test_stage1_dn_0031,0.35245579069583355,0.3524557948112488,4.115415230820929e-09
test_stage1_dn_0032,0.16143961152045028,0.1614396125078201,9.873698247897522e-10
test_stage1_dn_0033,0.17219440266619218,0.1721944063901901,3.7239979155945235e-09
test_stage1_dn_0034,0.21705399509681098,0.2170539945363998,5.604111619206265e-10
test_stage1_dn_0035,0.16058326076630977,0.1605832576751709,3.0911388726462263e-09
test_stage1_dn_0036,0.1954696127208272,0.1954696178436279,5.122800711410136e-09
test_stage1_dn_0037,0.7931237347859462,0.793123722076416,1.2709530206045372e-08
test_stage1_dn_0038,0.5786240823918211,0.5786240696907043,1.2701116713920158e-08
test_stage1_dn_0039,1.6725764550522173,1.6725764274597168,2.7592500506656847e-08
test_stage1_dn_0040,0.2603173926348811,0.2603173851966858,7.438195281928017e-09
test_stage1_dn_0041,0.17258943112407682,0.172589436173439,5.049362178377592e-09
test_stage1_dn_0042,0.3271380959753382,0.3271380960941314,1.1879319750107697e-10
test_stage1_dn_0043,0.5557606070412532,0.5557606220245361,1.4983282947689247e-08
test_stage1_dn_0044,0.39547816256919477,0.3954781591892242,3.3799705811965453e-09
