model,condition,n,agreement,n_disagree
gpt-4.1,baseline,45,0.8666666666666667,6
gpt-4.1,ctx_l1,45,0.8888888888888888,5
gpt-4.1,ctx_l2,45,0.7555555555555555,11
gpt-4.1,ctx_l2_ref_only,45,0.8,9
gpt-4.1,ctx_l3,45,0.7777777777777778,10
qwen3vl235b,baseline,45,0.8444444444444444,7
qwen3vl235b,ctx_l1,45,0.8666666666666667,6
qwen3vl235b,ctx_l2,45,0.9111111111111111,4
qwen3vl235b,ctx_l2_ref_only,45,0.8444444444444444,7
qwen3vl235b,ctx_l3,45,0.9111111111111111,4
qwen3vl32b,baseline,45,0.9555555555555556,2
qwen3vl32b,ctx_l1,45,0.9333333333333333,3
qwen3vl32b,ctx_l2,45,0.9111111111111111,4
qwen3vl32b,ctx_l2_ref_only,45,0.9555555555555556,2
qwen3vl32b,ctx_l3,45,0.9111111111111111,4
qwen3vl8b,baseline,45,0.9333333333333333,3
qwen3vl8b,ctx_l1,45,0.8888888888888888,5
qwen3vl8b,ctx_l2,45,0.8666666666666667,6
qwen3vl8b,ctx_l2_ref_only,45,0.8666666666666667,6
qwen3vl8b,ctx_l3,45,0.7777777777777778,10
